Name	dateid01	cip_jp	cip_uk	cip_us_ca	cip_us_swe	corp_aaa_baa_us	cross_stock_us_ca	cross_stock_us_de	cross_stock_us_jp	cross_stock_us_uk	debt_equity_us	diff_debt_equity_us	diff_lenddepo_us	diff_liquidity_us	diff_m1_liquidity_us	diff_mortgageloan_us1	fin_allmarket_us1	gov10y_1y_us	gov20y_10y_us	gov20y_1y_us	gq_gdp_us	gq_gdp_w	gr12lcpi_us	gr12lip_us_sa	gr12ly_us_sa	gy_gdp_us	gy_gdp_w	i3m_us	inf_us	inf_usf	ip_us	ipus_yus	lcpi_ppi_us	lending_deposit_us	lgdp_us_w_sa	lip_sa_us	lip_us	lip_us_sa	lip_y_us_sa	liquidity_us	lrate_drate_us	lti	ly_us	ly_us_sa	m1_liquidity_us	mort_corp_us	mortgage_loan_us1	mrate_tbill_us	refer_us	sti	target	tbill_6m_3m_us	ted1y_us	ump_us	y_q	y_us	y_y	ys_q	ys_y	yus_yworld
Display_name																					quarterly growth US GDP seasonally adjusted not logged	quarterly growth world GDP seasonally adjusted not logged				annual grwoth USD GDP seasonally adjusted not logged	annual growth World GDP seasonally adjusted not logged																												quarterly growth US GDP seasonally adjusted and logged		annual growth US GDP seasonally adjusted and logged	quarterly world GDP growth seasonally adjusted and logged	annual growth world GDP seasonally adjusted and logged	
	1980-09-01	NA	1.929578	3.1126317977905272	0.018621133640408516	-1.68	8.115136	0.25289255380630492	0.2566746473312378	12.086705207824708	12.428394317626954	0.34681892395019532	-0.0057422	0.002631694	-1.2837772374041378e-06	-0.0013150274753570556	NA	-1.83	-2.53	-4.36	4.93877246	5.85856425	NA	NA	NA	NA	NA	12.05	12.6	12.6	-3.8664324283599856	1.3115147558348798	-0.25349096200000032	0.7848698	-0.0318380051036602	3.993191848	4.007416818	3.9935657623086296	1.31151475583488	0.29740962386131288	-3.71	11.51	2.678724853	2.68205100647375	0.0002854134	1.18	0.28742933273315428	1.78	102.48	12.05	0.013561449	2.34	-1.24	7.2	5.069227414	-2.657271	NA	5.309494907	NA	0.054499359
	1980-10-01	NA	1.336791	-0.38724324107170104	0.51466816663742064	-1.92	7.815451	0.2541774809360504	0.256970077753067	12.025471687316894	12.46774673461914	0.039352416992187504	-0.0016013	-4.3153762817382816e-05	-9.361e-07	-0.0010815858840942382	NA	0.79	-1.07	-0.28	7.590030964	6.741270441	NA	NA	NA	NA	NA	13.51	12.8	12.8	-3.3216784000396728	1.3372298728843294	-0.25637624099999988	0.7832685	-0.022628171863150028	4.003538723	4.0160316079999992	4.0046402811406896	1.337229872884329	0.29736647009849548	-3.05	11.75	2.672102615	2.66741040825636	0.0002844773	1.48	0.28634774684906004	1.89	103.01	13.51	0.036192657	-2.88	-4.08	7.1	6.122464909	-0.08038199	NA	5.922347889	NA	0.056952497
	1980-11-01	NA	-3.858294	4.5828785896301272	2.5385286808013916	-1.67	8.241642	0.2725897	0.284961074590683	12.975069046020508	12.421088218688964	-0.046658515930175784	-0.0049568	0.0049233296886086464	-4.1229823182220568e-06	-0.002063065767288208	NA	1.62	-0.22	1.40	-1.58683479	-2.363200489	NA	NA	NA	NA	NA	16.50	12.6	12.6	-1.4159291982650756	1.33650507358929	-0.2520240379999996	0.7783117	-0.020351963584860128	4.020762606	4.022049817	4.0257455702587504	1.33650507358929	0.3022898	1.44	12.68	2.6893264979999996	2.68924049666946	0.00028035431751050056	1.24	0.28428468108177184	2.77	105.33	16.50	0.035099796	-6.34	-3.73	7.1	-2.929225152	-0.08038199	NA	-3.112273239	NA	0.052328483
	1980-12-01	NA	-6.543937	0.4807709	6.5821075439453128	-1.93	7.471657	0.25873833894729616	0.27476218342781068	13.05384635925293	12.495147705078124	0.07405949	-0.0011724	-0.0022757	-6.3710904214531184e-06	-0.0026913583278656004	NA	1.60	-0.05	1.55	-0.292580183	-1.07915605	NA	-0.0015366836108548428	NA	NA	NA	19.47	12.5	12.5	-0.7142857	1.3333217304773704	-0.24954883199999988	0.7771393	-0.020983346453010028	4.02659556	4.019362362	4.0332770688252904	1.33332173047737	0.3000141	5.47	12.84	2.695159452	2.69995533834792	0.00027398322708904744	1.58	0.28159332275390624	3.98	106.20	19.47	0.031942361	-7.39	-9.87	6.9	-1.652624636	0.04139006	NA	-1.838080031	NA	0.056035235
	1981-01-01	NA	-6.378264	-0.14000000000000002	4.9398646354675296	-2.22	7.063795	0.25327467918395996	0.25398972630500792	12.814045906066894	12.782968521118164	0.2878208	0.001703	-0.0016086315736174584	1.916545443236828e-06	0.0011910772882401944	NA	0.86	-1.44	-0.58	-2.164508629	-2.757041208	0.03096436846315938	-0.0035612408600771	0.0066503704961509544	1.944920409	3.695742351	18.15	11.8	11.8	-1.4260249137878418	1.3136402533366796	-0.25559968500000004	0.7788423	-0.01095909720419996	4.020604727	4.013804926	4.02067881804814	1.3136402533366792	0.29840546846389772	6.38	12.57	2.706247833	2.70703856471146	0.00027589977253228424	2.09	0.2827844	3.13	105.68	18.15	0.020008279	-5.42	-7.24	8.2	-3.622970975	-0.6990215	0.702431374	-3.755023539	1.174147923	0.056620044
	1981-02-01	NA	-6.456784	2.42	4.106725	-2.02	7.023542	0.2579992	0.25854292511940004	12.525763511657714	12.54649	-0.23647852241992952	-0.0042402	0.0020290017127990724	1.582727463755873e-06	0.0023331367410719396	NA	-0.01	-1.42	-1.43	1.438234553	0.823882257	0.029922794928085328	-0.005474096526131424	0.0053174748526682448	-1.516325774	0.17505205099999998	17.21	11.4	11.4	-2.2767076492309572	1.31199300697552	-0.2550710930000002	0.7746021	-0.01428180121312961	4.01743652	4.025833717	4.01517922300944	1.31199300697552	0.30043447017669676	6.81	13.19	2.703079625	2.70318621603392	0.0002774825	1.78	0.2851175367832184	2.42	109.47	17.21	0.020072422	-3.88	-4.14	8.0	-0.073934942	1.8171522617340088	-2.716629672	-0.210850276	-2.2609289	0.053938743
	1981-03-01	NA	-4.608062	-3.36	1.4462097883224488	-2.01	7.339449	0.27766436338424684	0.2565215	12.71028	12.441075325012208	-0.10541467368602752	-0.0031192	-0.0005889237	5.6688145377847824e-07	0.0007452632	NA	-0.74	-1.59	-2.33	6.834558961	6.187524272	0.02783696198093214	-0.0038602184024926624	0.008266015047169344	4.346519945	6.138587426	15.41	10.5	10.5	-1.573426604270935	1.31505152748197	-0.25722182300000012	0.7714829	-0.01473161987967009	4.022499413	4.033822852	4.02283825386624	1.31505152748197	0.29984554648399352	5.45	13.12	2.708142518	2.70778672638427	0.0002780493814498186	2.07	0.28586279999999996	2.05	109.69	15.41	0.021275214	-1.83	-3.72	7.7	5.241944877	4.450022	3.0747605830000004	5.097745903	3.557589744	0.060832261
	1981-04-01	NA	-5.138921	-1.04	2.5890963077545168	-1.68	6.6869654655456544	0.26826167106628416	0.236904039978981	11.665495872497558	12.498343467712402	0.05726814	-0.0044363	0.003305107355117798	1.2090185919078066e-06	-0.00060373200000000008	NA	-1.47	-2.06	-3.53	1.452729024	3.39447299	0.026422288982503868	-0.0004340439239240308	0.001940363072188124	3.983184547	5.416548508	15.91	10.0	10	-0.18083181977272032	1.3278593231792998	-0.26144995399999972	0.7670466	-0.034649122568370048	4.018069885	4.01300977	4.0161725742651696	1.3278593231793002	0.30315065383911132	4.65	13.68	2.692642468	2.68831325108587	0.00027925839999999996	1.70	0.28525906801223756	2.22	111.70	15.91	0.033185090	-0.08	-4.04	7.0	2.049754766	3.4541909999999996	1.756768058	2.548373407	2.15436126	0.051490243
	1981-05-01	NA	-8.125424	3.126887	5.875526428222656	-1.63	7.067697	0.27570074796676636	0.23666642606258392	11.610332489013672	11.925541877746582	-0.5728016	0.0081942	0.0011186003684997558	-1.2798573152394966e-06	-0.0006177127	NA	-2.04	-2.07	-4.11	3.631939421	5.615392158	0.02589844940502888	0.0076715701375141984	0.01354744294694722	0.64158479599999992	2.028886226	18.98	9.8	9.8	3.1598513126373292	1.3267085249342298	-0.25562198400000032	0.7752408	-0.0295076428691603	4.025178461	4.017936768	4.0285868122916896	1.32670852493423	0.30426925420761108	7.11	14.10	2.699751044	2.70187828735746	0.00027797854272648692	2.08	0.2846413552761078	2.68	115.37	18.98	0.028911794	-1.8	-5.22	7.1	4.24178931	3.135506	-1.513283656	4.7511183069999992	-1.128467493	0.050105506
	1981-06-01	NA	-6.829787	-1.283113	3.6844816207885744	-2.05	7.123236	0.28012382984161376	0.22385054826736452	11.652752876281738	12.187952995300292	0.26241111755371092	-0.0049274	0.0019993185997009276	-4.5466003939509392e-06	-0.0007573962	NA	-1.51	-1.90	-3.41	-6.770602667	-4.986248304	0.025145756647859272	0.01215224651473453	0.0204613319847924	4.2144871970000008	5.651039567	18.00	9.6	9.6	5	1.3259638312286204	-0.24948681000000008	0.7703134	-0.030491807026810312	4.0303605539999992	4.040977189	4.03207440792496	1.32596383122862	0.306268572807312	7.37	13.47	2.704933137	2.70611057669634	0.000273431942332536	2.95	0.28388395905494688	3.27	118.41	18.00	0.030542744	-0.73	-7.06	7.7	-6.221969322	3.130392	1.983118215	-5.763766612	2.381595833	0.050836757
